x= 256, y= 128, width= 8, height= 32
x= 264, y= 128, width= 8, height= 32
x= 272, y= 128, width= 4, height= 8
x= 276, y= 128, width= 8, height= 8
x= 284, y= 128, width= 4, height= 8
x= 272, y= 136, width= 16, height= 16
x= 272, y= 152, width= 16, height= 8
x= 288, y= 128, width= 8, height= 4
x= 296, y= 128, width= 8, height= 4
x= 288, y= 132, width= 8, height= 4
x= 296, y= 132, width= 8, height= 4
x= 288, y= 136, width= 8, height= 4
x= 288, y= 140, width= 8, height= 4
x= 296, y= 136, width= 8, height= 8
x= 304, y= 128, width= 16, height= 8
x= 304, y= 136, width= 8, height= 8
x= 312, y= 136, width= 8, height= 8
x= 288, y= 144, width= 8, height= 8
x= 296, y= 144, width= 8, height= 8
x= 288, y= 152, width= 8, height= 8
x= 296, y= 152, width= 8, height= 4
x= 296, y= 156, width= 8, height= 4
x= 304, y= 144, width= 4, height= 8
x= 308, y= 144, width= 8, height= 8
x= 316, y= 144, width= 4, height= 8
x= 304, y= 152, width= 8, height= 4
x= 312, y= 152, width= 8, height= 4
x= 304, y= 156, width= 4, height= 4
x= 308, y= 156, width= 8, height= 4
x= 316, y= 156, width= 4, height= 4
x= 256, y= 160, width= 16, height= 4
x= 256, y= 164, width= 4, height= 8
x= 260, y= 164, width= 8, height= 8
x= 268, y= 164, width= 4, height= 8
x= 256, y= 172, width= 8, height= 4
x= 264, y= 172, width= 8, height= 4
x= 272, y= 160, width= 16, height= 16
x= 256, y= 176, width= 16, height= 16
x= 272, y= 176, width= 4, height= 16
x= 276, y= 176, width= 8, height= 16
x= 284, y= 176, width= 4, height= 16
x= 288, y= 160, width= 32, height= 4
x= 288, y= 164, width= 32, height= 4
x= 288, y= 168, width= 16, height= 16
x= 304, y= 168, width= 16, height= 16
x= 288, y= 184, width= 16, height= 4
x= 288, y= 188, width= 16, height= 4
x= 304, y= 184, width= 16, height= 8
x= 320, y= 128, width= 8, height= 32
x= 328, y= 128, width= 4, height= 32
x= 332, y= 128, width= 4, height= 8
x= 332, y= 136, width= 4, height= 8
x= 332, y= 144, width= 4, height= 8
x= 332, y= 152, width= 4, height= 8
x= 336, y= 128, width= 8, height= 8
x= 336, y= 136, width= 8, height= 8
x= 336, y= 144, width= 8, height= 8
x= 336, y= 152, width= 8, height= 8
x= 344, y= 128, width= 2, height= 32
x= 346, y= 128, width= 2, height= 32
x= 348, y= 128, width= 2, height= 32
x= 350, y= 128, width= 2, height= 32
x= 320, y= 160, width= 8, height= 8
x= 328, y= 160, width= 8, height= 8
x= 320, y= 168, width= 16, height= 8
x= 336, y= 160, width= 4, height= 8
x= 336, y= 168, width= 4, height= 4
x= 336, y= 172, width= 4, height= 4
x= 340, y= 160, width= 8, height= 8
x= 340, y= 168, width= 4, height= 8
x= 344, y= 168, width= 4, height= 4
x= 344, y= 172, width= 4, height= 4
x= 348, y= 160, width= 4, height= 16
x= 320, y= 176, width= 16, height= 16
x= 336, y= 176, width= 8, height= 16
x= 344, y= 176, width= 4, height= 16
x= 348, y= 176, width= 4, height= 4
x= 348, y= 180, width= 4, height= 8
x= 348, y= 188, width= 4, height= 4
x= 256, y= 192, width= 16, height= 16
x= 272, y= 192, width= 16, height= 16
x= 256, y= 208, width= 16, height= 4
x= 256, y= 212, width= 16, height= 4
x= 256, y= 216, width= 16, height= 4
x= 256, y= 220, width= 16, height= 4
x= 272, y= 208, width= 16, height= 16
x= 288, y= 192, width= 4, height= 8
x= 292, y= 192, width= 8, height= 8
x= 300, y= 192, width= 4, height= 8
x= 288, y= 200, width= 16, height= 4
x= 288, y= 204, width= 16, height= 8
x= 288, y= 212, width= 16, height= 4
x= 288, y= 216, width= 16, height= 1
x= 288, y= 217, width= 16, height= 1
x= 288, y= 218, width= 16, height= 1
x= 288, y= 219, width= 16, height= 1
x= 288, y= 220, width= 16, height= 4
x= 304, y= 192, width= 16, height= 4
x= 304, y= 196, width= 16, height= 4
x= 304, y= 200, width= 16, height= 16
x= 304, y= 216, width= 16, height= 4
x= 304, y= 220, width= 4, height= 4
x= 308, y= 220, width= 4, height= 4
x= 312, y= 220, width= 4, height= 4
x= 316, y= 220, width= 4, height= 4
x= 256, y= 224, width= 32, height= 8
x= 256, y= 232, width= 32, height= 8
x= 256, y= 240, width= 32, height= 8
