x= 0, y= 0, width= 32, height= 32
x= 32, y= 0, width= 32, height= 8
x= 32, y= 8, width= 32, height= 16
x= 32, y= 24, width= 32, height= 8
x= 0, y= 32, width= 32, height= 16
x= 0, y= 48, width= 32, height= 16
x= 32, y= 32, width= 32, height= 32
x= 64, y= 0, width= 64, height= 64
x= 0, y= 64, width= 16, height= 64
x= 16, y= 64, width= 32, height= 64
x= 48, y= 64, width= 16, height= 64
x= 64, y= 64, width= 16, height= 64
x= 80, y= 64, width= 32, height= 64
x= 112, y= 64, width= 16, height= 16
x= 112, y= 80, width= 8, height= 32
x= 120, y= 80, width= 8, height= 32
x= 112, y= 112, width= 16, height= 8
x= 112, y= 120, width= 16, height= 8
x= 128, y= 0, width= 32, height= 32
x= 160, y= 0, width= 8, height= 32
x= 168, y= 0, width= 16, height= 32
x= 184, y= 0, width= 8, height= 32
x= 128, y= 32, width= 16, height= 32
x= 144, y= 32, width= 16, height= 16
x= 144, y= 48, width= 4, height= 16
x= 148, y= 48, width= 8, height= 16
x= 156, y= 48, width= 4, height= 16
x= 160, y= 32, width= 32, height= 32
x= 192, y= 0, width= 64, height= 32
x= 192, y= 32, width= 8, height= 32
x= 200, y= 32, width= 8, height= 32
x= 208, y= 32, width= 32, height= 32
x= 240, y= 32, width= 16, height= 32
x= 128, y= 64, width= 16, height= 32
x= 144, y= 64, width= 32, height= 32
x= 176, y= 64, width= 16, height= 32
x= 128, y= 96, width= 32, height= 32
x= 160, y= 96, width= 32, height= 32
x= 192, y= 64, width= 32, height= 32
x= 224, y= 64, width= 32, height= 8
x= 224, y= 72, width= 32, height= 16
x= 224, y= 88, width= 32, height= 8
x= 192, y= 96, width= 32, height= 32
x= 224, y= 96, width= 32, height= 16
x= 224, y= 112, width= 32, height= 16
x= 256, y= 0, width= 64, height= 32
x= 256, y= 32, width= 64, height= 32
x= 320, y= 0, width= 32, height= 64
x= 256, y= 64, width= 8, height= 32
x= 264, y= 64, width= 16, height= 32
x= 280, y= 64, width= 8, height= 32
x= 288, y= 64, width= 32, height= 32
x= 256, y= 96, width= 16, height= 4
x= 256, y= 100, width= 16, height= 8
x= 256, y= 108, width= 16, height= 4
x= 256, y= 112, width= 16, height= 16
x= 272, y= 96, width= 16, height= 32
x= 288, y= 96, width= 32, height= 32
x= 320, y= 64, width= 32, height= 64
x= 0, y= 128, width= 32, height= 64
x= 32, y= 128, width= 32, height= 64
x= 64, y= 128, width= 16, height= 32
x= 80, y= 128, width= 32, height= 32
x= 112, y= 128, width= 16, height= 32
x= 64, y= 160, width= 64, height= 32
x= 0, y= 192, width= 16, height= 64
x= 16, y= 192, width= 32, height= 64
x= 48, y= 192, width= 16, height= 64
x= 64, y= 192, width= 64, height= 64
x= 128, y= 128, width= 8, height= 32
x= 136, y= 128, width= 8, height= 32
x= 144, y= 128, width= 16, height= 32
x= 160, y= 128, width= 32, height= 32
x= 128, y= 160, width= 8, height= 32
x= 136, y= 160, width= 8, height= 32
x= 144, y= 160, width= 16, height= 32
x= 160, y= 160, width= 32, height= 32
x= 192, y= 128, width= 32, height= 32
x= 224, y= 128, width= 16, height= 32
x= 240, y= 128, width= 8, height= 32
x= 248, y= 128, width= 8, height= 32
x= 192, y= 160, width= 32, height= 32
x= 224, y= 160, width= 16, height= 32
x= 240, y= 160, width= 4, height= 32
x= 244, y= 160, width= 8, height= 8
x= 244, y= 168, width= 8, height= 16
x= 244, y= 184, width= 8, height= 8
x= 252, y= 160, width= 4, height= 32
x= 128, y= 192, width= 8, height= 16
x= 136, y= 192, width= 8, height= 16
x= 144, y= 192, width= 16, height= 16
x= 128, y= 208, width= 16, height= 8
x= 128, y= 216, width= 16, height= 8
x= 144, y= 208, width= 8, height= 16
x= 152, y= 208, width= 8, height= 16
x= 160, y= 192, width= 32, height= 32
x= 128, y= 224, width= 8, height= 32
x= 136, y= 224, width= 16, height= 32
x= 152, y= 224, width= 8, height= 32
x= 160, y= 224, width= 32, height= 32
x= 192, y= 192, width= 32, height= 32
x= 224, y= 192, width= 32, height= 32
x= 192, y= 224, width= 32, height= 32
x= 224, y= 224, width= 8, height= 32
x= 232, y= 224, width= 16, height= 16
x= 232, y= 240, width= 16, height= 16
x= 248, y= 224, width= 8, height= 32
x= 256, y= 128, width= 64, height= 16
x= 256, y= 144, width= 64, height= 32
x= 256, y= 176, width= 64, height= 16
x= 320, y= 128, width= 32, height= 64
x= 256, y= 192, width= 64, height= 64
x= 320, y= 192, width= 32, height= 64
x= 0, y= 256, width= 64, height= 32
x= 64, y= 256, width= 64, height= 16
x= 64, y= 272, width= 64, height= 16
x= 128, y= 256, width= 32, height= 16
x= 128, y= 272, width= 32, height= 16
x= 160, y= 256, width= 16, height= 16
x= 176, y= 256, width= 16, height= 16
x= 160, y= 272, width= 32, height= 16
x= 192, y= 256, width= 32, height= 8
x= 224, y= 256, width= 32, height= 8
x= 192, y= 264, width= 64, height= 16
x= 192, y= 280, width= 32, height= 8
x= 224, y= 280, width= 16, height= 8
x= 240, y= 280, width= 16, height= 8
x= 256, y= 256, width= 64, height= 32
x= 320, y= 256, width= 32, height= 32
