x= 0, y= 0, width= 32, height= 16
x= 0, y= 16, width= 32, height= 16
x= 32, y= 0, width= 32, height= 8
x= 32, y= 8, width= 32, height= 16
x= 32, y= 24, width= 32, height= 8
x= 0, y= 32, width= 8, height= 32
x= 8, y= 32, width= 8, height= 32
x= 16, y= 32, width= 8, height= 16
x= 16, y= 48, width= 8, height= 16
x= 24, y= 32, width= 8, height= 32
x= 32, y= 32, width= 32, height= 16
x= 32, y= 48, width= 16, height= 16
x= 48, y= 48, width= 16, height= 16
x= 64, y= 0, width= 32, height= 32
x= 96, y= 0, width= 32, height= 16
x= 96, y= 16, width= 16, height= 16
x= 112, y= 16, width= 16, height= 16
x= 64, y= 32, width= 16, height= 32
x= 80, y= 32, width= 16, height= 32
x= 96, y= 32, width= 16, height= 32
x= 112, y= 32, width= 4, height= 32
x= 116, y= 32, width= 8, height= 16
x= 116, y= 48, width= 8, height= 16
x= 124, y= 32, width= 4, height= 32
x= 0, y= 64, width= 4, height= 32
x= 4, y= 64, width= 8, height= 8
x= 4, y= 72, width= 8, height= 16
x= 4, y= 88, width= 8, height= 8
x= 12, y= 64, width= 4, height= 32
x= 16, y= 64, width= 8, height= 32
x= 24, y= 64, width= 8, height= 32
x= 32, y= 64, width= 32, height= 16
x= 32, y= 80, width= 8, height= 16
x= 40, y= 80, width= 16, height= 16
x= 56, y= 80, width= 8, height= 16
x= 0, y= 96, width= 8, height= 32
x= 8, y= 96, width= 16, height= 16
x= 8, y= 112, width= 16, height= 16
x= 24, y= 96, width= 8, height= 32
x= 32, y= 96, width= 32, height= 32
x= 64, y= 64, width= 32, height= 32
x= 96, y= 64, width= 16, height= 32
x= 112, y= 64, width= 8, height= 16
x= 112, y= 80, width= 8, height= 16
x= 120, y= 64, width= 8, height= 32
x= 64, y= 96, width= 32, height= 32
x= 96, y= 96, width= 32, height= 16
x= 96, y= 112, width= 32, height= 16
x= 128, y= 0, width= 32, height= 16
x= 128, y= 16, width= 8, height= 16
x= 136, y= 16, width= 16, height= 8
x= 136, y= 24, width= 16, height= 8
x= 152, y= 16, width= 8, height= 16
x= 160, y= 0, width= 16, height= 4
x= 176, y= 0, width= 16, height= 4
x= 160, y= 4, width= 16, height= 8
x= 176, y= 4, width= 16, height= 8
x= 160, y= 12, width= 32, height= 4
x= 160, y= 16, width= 32, height= 16
x= 128, y= 32, width= 32, height= 32
x= 160, y= 32, width= 32, height= 32
x= 192, y= 0, width= 32, height= 8
x= 192, y= 8, width= 16, height= 8
x= 208, y= 8, width= 16, height= 8
x= 192, y= 16, width= 32, height= 16
x= 224, y= 0, width= 16, height= 16
x= 224, y= 16, width= 16, height= 16
x= 240, y= 0, width= 8, height= 8
x= 240, y= 8, width= 8, height= 16
x= 240, y= 24, width= 8, height= 8
x= 248, y= 0, width= 8, height= 32
x= 192, y= 32, width= 32, height= 32
x= 224, y= 32, width= 16, height= 8
x= 240, y= 32, width= 16, height= 8
x= 224, y= 40, width= 32, height= 8
x= 224, y= 48, width= 32, height= 16
x= 128, y= 64, width= 32, height= 8
x= 128, y= 72, width= 32, height= 16
x= 128, y= 88, width= 32, height= 8
x= 128, y= 96, width= 32, height= 16
x= 128, y= 112, width= 32, height= 16
x= 160, y= 64, width= 32, height= 16
x= 160, y= 80, width= 32, height= 8
x= 160, y= 88, width= 32, height= 16
x= 160, y= 104, width= 32, height= 8
x= 160, y= 112, width= 32, height= 16
x= 192, y= 64, width= 32, height= 8
x= 224, y= 64, width= 32, height= 8
x= 192, y= 72, width= 64, height= 4
x= 192, y= 76, width= 64, height= 8
x= 192, y= 84, width= 64, height= 4
x= 192, y= 88, width= 32, height= 8
x= 224, y= 88, width= 32, height= 8
x= 192, y= 96, width= 16, height= 16
x= 208, y= 96, width= 32, height= 16
x= 240, y= 96, width= 16, height= 16
x= 192, y= 112, width= 32, height= 16
x= 224, y= 112, width= 32, height= 16
x= 256, y= 0, width= 64, height= 16
x= 256, y= 16, width= 64, height= 16
x= 256, y= 32, width= 8, height= 32
x= 264, y= 32, width= 8, height= 32
x= 272, y= 32, width= 32, height= 32
x= 304, y= 32, width= 16, height= 32
x= 320, y= 0, width= 16, height= 64
x= 336, y= 0, width= 4, height= 32
x= 340, y= 0, width= 8, height= 32
x= 348, y= 0, width= 4, height= 32
x= 336, y= 32, width= 4, height= 32
x= 340, y= 32, width= 8, height= 32
x= 348, y= 32, width= 4, height= 32
x= 256, y= 64, width= 8, height= 16
x= 264, y= 64, width= 16, height= 16
x= 280, y= 64, width= 8, height= 16
x= 256, y= 80, width= 16, height= 16
x= 272, y= 80, width= 16, height= 8
x= 272, y= 88, width= 16, height= 8
x= 288, y= 64, width= 8, height= 16
x= 288, y= 80, width= 8, height= 16
x= 296, y= 64, width= 16, height= 32
x= 312, y= 64, width= 8, height= 32
x= 256, y= 96, width= 32, height= 32
x= 288, y= 96, width= 8, height= 16
x= 296, y= 96, width= 16, height= 16
x= 312, y= 96, width= 8, height= 16
x= 288, y= 112, width= 32, height= 8
x= 288, y= 120, width= 32, height= 8
x= 320, y= 64, width= 16, height= 64
x= 336, y= 64, width= 16, height= 32
x= 336, y= 96, width= 16, height= 32
x= 0, y= 128, width= 16, height= 32
x= 0, y= 160, width= 16, height= 32
x= 16, y= 128, width= 16, height= 16
x= 16, y= 144, width= 16, height= 32
x= 16, y= 176, width= 16, height= 16
x= 32, y= 128, width= 32, height= 16
x= 32, y= 144, width= 32, height= 32
x= 32, y= 176, width= 32, height= 16
x= 64, y= 128, width= 32, height= 32
x= 96, y= 128, width= 4, height= 32
x= 100, y= 128, width= 8, height= 32
x= 108, y= 128, width= 4, height= 32
x= 112, y= 128, width= 8, height= 16
x= 112, y= 144, width= 8, height= 16
x= 120, y= 128, width= 8, height= 8
x= 120, y= 136, width= 8, height= 16
x= 120, y= 152, width= 8, height= 8
x= 64, y= 160, width= 32, height= 32
x= 96, y= 160, width= 8, height= 32
x= 104, y= 160, width= 8, height= 32
x= 112, y= 160, width= 16, height= 32
x= 0, y= 192, width= 8, height= 64
x= 8, y= 192, width= 8, height= 64
x= 16, y= 192, width= 32, height= 64
x= 48, y= 192, width= 16, height= 64
x= 64, y= 192, width= 32, height= 32
x= 96, y= 192, width= 32, height= 16
x= 96, y= 208, width= 16, height= 16
x= 112, y= 208, width= 16, height= 16
x= 64, y= 224, width= 32, height= 32
x= 96, y= 224, width= 16, height= 32
x= 112, y= 224, width= 16, height= 32
x= 128, y= 128, width= 32, height= 4
x= 128, y= 132, width= 32, height= 8
x= 128, y= 140, width= 32, height= 4
x= 128, y= 144, width= 16, height= 32
x= 144, y= 144, width= 16, height= 32
x= 128, y= 176, width= 8, height= 16
x= 136, y= 176, width= 16, height= 16
x= 152, y= 176, width= 8, height= 16
x= 160, y= 128, width= 32, height= 16
x= 160, y= 144, width= 32, height= 16
x= 160, y= 160, width= 32, height= 32
x= 192, y= 128, width= 32, height= 16
x= 192, y= 144, width= 32, height= 16
x= 224, y= 128, width= 8, height= 16
x= 232, y= 128, width= 16, height= 16
x= 248, y= 128, width= 4, height= 16
x= 252, y= 128, width= 4, height= 16
x= 224, y= 144, width= 32, height= 16
x= 192, y= 160, width= 16, height= 32
x= 208, y= 160, width= 16, height= 32
x= 224, y= 160, width= 32, height= 32
x= 128, y= 192, width= 8, height= 16
x= 128, y= 208, width= 8, height= 8
x= 128, y= 216, width= 8, height= 8
x= 136, y= 192, width= 4, height= 32
x= 140, y= 192, width= 8, height= 16
x= 140, y= 208, width= 8, height= 16
x= 148, y= 192, width= 4, height= 32
x= 0, y= 0, width= 0, height= 0
x= 152, y= 192, width= 8, height= 32
x= 160, y= 192, width= 32, height= 32
x= 128, y= 224, width= 16, height= 16
x= 144, y= 224, width= 16, height= 16
x= 128, y= 240, width= 32, height= 8
x= 128, y= 248, width= 8, height= 8
x= 136, y= 248, width= 16, height= 8
x= 152, y= 248, width= 8, height= 8
x= 160, y= 224, width= 32, height= 8
x= 160, y= 232, width= 32, height= 16
x= 160, y= 248, width= 32, height= 8
x= 192, y= 192, width= 32, height= 8
