x= 0, y= 0, width= 8, height= 32
x= 8, y= 0, width= 16, height= 16
x= 8, y= 16, width= 16, height= 16
x= 24, y= 0, width= 8, height= 16
x= 24, y= 16, width= 8, height= 16
x= 32, y= 0, width= 32, height= 32
x= 0, y= 32, width= 8, height= 32
x= 8, y= 32, width= 16, height= 32
x= 24, y= 32, width= 8, height= 32
x= 32, y= 32, width= 32, height= 32
x= 64, y= 0, width= 32, height= 32
x= 96, y= 0, width= 32, height= 32
x= 64, y= 32, width= 32, height= 32
x= 96, y= 32, width= 32, height= 32
x= 0, y= 64, width= 8, height= 64
x= 8, y= 64, width= 16, height= 64
x= 24, y= 64, width= 8, height= 64
x= 32, y= 64, width= 32, height= 64
x= 64, y= 64, width= 32, height= 32
x= 96, y= 64, width= 32, height= 32
x= 64, y= 96, width= 16, height= 32
x= 80, y= 96, width= 32, height= 32
x= 112, y= 96, width= 16, height= 32
x= 128, y= 0, width= 32, height= 8
x= 128, y= 8, width= 32, height= 16
x= 128, y= 24, width= 32, height= 8
x= 160, y= 0, width= 32, height= 8
x= 160, y= 8, width= 32, height= 16
x= 160, y= 24, width= 32, height= 8
x= 128, y= 32, width= 64, height= 32
x= 192, y= 0, width= 32, height= 4
x= 192, y= 4, width= 32, height= 8
x= 192, y= 12, width= 32, height= 4
x= 224, y= 0, width= 32, height= 16
x= 192, y= 16, width= 64, height= 32
x= 192, y= 48, width= 64, height= 16
x= 128, y= 64, width= 64, height= 64
x= 192, y= 64, width= 32, height= 32
x= 192, y= 96, width= 32, height= 32
x= 224, y= 64, width= 16, height= 32
x= 240, y= 64, width= 16, height= 32
x= 224, y= 96, width= 32, height= 32
x= 256, y= 0, width= 64, height= 32
x= 256, y= 32, width= 64, height= 32
x= 320, y= 0, width= 32, height= 64
x= 256, y= 64, width= 32, height= 8
x= 256, y= 72, width= 32, height= 16
x= 256, y= 88, width= 32, height= 8
x= 288, y= 64, width= 8, height= 32
x= 296, y= 64, width= 16, height= 32
x= 312, y= 64, width= 8, height= 32
x= 256, y= 96, width= 32, height= 8
x= 256, y= 104, width= 32, height= 16
x= 256, y= 120, width= 32, height= 8
x= 288, y= 96, width= 16, height= 32
x= 304, y= 96, width= 16, height= 32
x= 320, y= 64, width= 32, height= 64
x= 0, y= 128, width= 8, height= 64
x= 8, y= 128, width= 8, height= 64
x= 16, y= 128, width= 32, height= 64
x= 48, y= 128, width= 16, height= 64
x= 64, y= 128, width= 32, height= 64
x= 96, y= 128, width= 16, height= 64
x= 112, y= 128, width= 16, height= 64
x= 0, y= 192, width= 32, height= 64
x= 32, y= 192, width= 32, height= 64
x= 64, y= 192, width= 32, height= 64
x= 96, y= 192, width= 16, height= 64
x= 112, y= 192, width= 16, height= 64
x= 128, y= 128, width= 32, height= 16
x= 128, y= 144, width= 32, height= 16
x= 160, y= 128, width= 32, height= 16
x= 160, y= 144, width= 32, height= 16
x= 128, y= 160, width= 16, height= 8
x= 128, y= 168, width= 16, height= 16
x= 128, y= 184, width= 16, height= 8
x= 144, y= 160, width= 16, height= 32
x= 160, y= 160, width= 32, height= 32
x= 192, y= 128, width= 32, height= 16
x= 192, y= 144, width= 32, height= 16
x= 224, y= 128, width= 32, height= 16
x= 224, y= 144, width= 32, height= 16
x= 192, y= 160, width= 16, height= 32
x= 208, y= 160, width= 16, height= 32
x= 224, y= 160, width= 16, height= 32
x= 240, y= 160, width= 16, height= 16
x= 240, y= 176, width= 16, height= 16
x= 128, y= 192, width= 8, height= 8
x= 128, y= 200, width= 8, height= 16
x= 128, y= 216, width= 8, height= 8
x= 136, y= 192, width= 16, height= 32
x= 152, y= 192, width= 8, height= 32
x= 160, y= 192, width= 32, height= 32
x= 128, y= 224, width= 32, height= 32
x= 160, y= 224, width= 32, height= 32
x= 192, y= 192, width= 32, height= 64
x= 224, y= 192, width= 32, height= 8
x= 224, y= 200, width= 32, height= 16
x= 224, y= 216, width= 32, height= 8
x= 224, y= 224, width= 16, height= 32
x= 240, y= 224, width= 16, height= 32
x= 256, y= 128, width= 8, height= 16
x= 256, y= 144, width= 8, height= 16
x= 264, y= 128, width= 16, height= 8
x= 264, y= 136, width= 16, height= 16
x= 264, y= 152, width= 16, height= 8
x= 280, y= 128, width= 8, height= 32
x= 288, y= 128, width= 32, height= 32
x= 256, y= 160, width= 32, height= 8
x= 256, y= 168, width= 32, height= 16
x= 256, y= 184, width= 32, height= 8
x= 288, y= 160, width= 32, height= 32
x= 320, y= 128, width= 32, height= 64
x= 256, y= 192, width= 32, height= 32
x= 288, y= 192, width= 32, height= 32
x= 256, y= 224, width= 64, height= 32
x= 320, y= 192, width= 32, height= 64
x= 0, y= 256, width= 64, height= 32
x= 64, y= 256, width= 32, height= 32
x= 96, y= 256, width= 8, height= 32
x= 104, y= 256, width= 16, height= 32
x= 120, y= 256, width= 8, height= 32
x= 128, y= 256, width= 32, height= 32
x= 160, y= 256, width= 32, height= 8
x= 160, y= 264, width= 32, height= 16
x= 160, y= 280, width= 32, height= 8
x= 192, y= 256, width= 32, height= 32
x= 224, y= 256, width= 16, height= 32
x= 240, y= 256, width= 16, height= 32
x= 256, y= 256, width= 4, height= 32
x= 260, y= 256, width= 8, height= 32
x= 268, y= 256, width= 4, height= 32
x= 272, y= 256, width= 16, height= 32
x= 288, y= 256, width= 32, height= 32
x= 320, y= 256, width= 32, height= 32
