x= 4, y= 96, width= 4, height= 4
x= 4, y= 100, width= 4, height= 8
x= 4, y= 108, width= 4, height= 4
x= 8, y= 96, width= 4, height= 8
x= 8, y= 104, width= 4, height= 8
x= 12, y= 96, width= 4, height= 8
x= 12, y= 104, width= 4, height= 8
x= 16, y= 96, width= 8, height= 4
x= 16, y= 100, width= 8, height= 4
x= 16, y= 104, width= 8, height= 8
x= 24, y= 96, width= 8, height= 16
x= 0, y= 112, width= 4, height= 8
x= 4, y= 112, width= 8, height= 4
x= 4, y= 116, width= 8, height= 4
x= 12, y= 112, width= 4, height= 8
x= 0, y= 120, width= 8, height= 8
x= 8, y= 120, width= 8, height= 8
x= 16, y= 112, width= 16, height= 16
x= 32, y= 96, width= 8, height= 8
x= 40, y= 96, width= 8, height= 8
x= 32, y= 104, width= 8, height= 8
x= 40, y= 104, width= 8, height= 8
x= 48, y= 96, width= 16, height= 16
x= 32, y= 112, width= 16, height= 16
x= 48, y= 112, width= 16, height= 16
x= 64, y= 64, width= 32, height= 4
x= 64, y= 68, width= 16, height= 4
x= 80, y= 68, width= 16, height= 4
x= 64, y= 72, width= 8, height= 4
x= 64, y= 76, width= 8, height= 8
x= 64, y= 84, width= 8, height= 4
x= 72, y= 72, width= 4, height= 16
x= 76, y= 72, width= 8, height= 16
x= 84, y= 72, width= 4, height= 16
x= 88, y= 72, width= 8, height= 16
x= 64, y= 88, width= 32, height= 8
x= 96, y= 64, width= 8, height= 4
x= 96, y= 68, width= 8, height= 8
x= 96, y= 76, width= 8, height= 4
x= 104, y= 64, width= 4, height= 8
x= 108, y= 64, width= 4, height= 8
x= 104, y= 72, width= 8, height= 4
x= 104, y= 76, width= 8, height= 4
x= 112, y= 64, width= 16, height= 16
x= 96, y= 80, width= 8, height= 16
x= 104, y= 80, width= 4, height= 16
x= 108, y= 80, width= 4, height= 16
x= 112, y= 80, width= 8, height= 16
x= 120, y= 80, width= 8, height= 16
x= 64, y= 96, width= 16, height= 32
x= 80, y= 96, width= 8, height= 32
x= 88, y= 96, width= 8, height= 8
x= 88, y= 104, width= 8, height= 16
x= 88, y= 120, width= 8, height= 8
x= 96, y= 96, width= 8, height= 16
x= 104, y= 96, width= 4, height= 16
x= 108, y= 96, width= 8, height= 16
x= 116, y= 96, width= 4, height= 16
x= 120, y= 96, width= 8, height= 4
x= 120, y= 100, width= 8, height= 8
x= 120, y= 108, width= 8, height= 4
x= 96, y= 112, width= 16, height= 8
x= 96, y= 120, width= 16, height= 8
x= 112, y= 112, width= 16, height= 16
x= 128, y= 0, width= 8, height= 4
x= 128, y= 4, width= 8, height= 8
x= 128, y= 12, width= 8, height= 4
x= 136, y= 0, width= 8, height= 8
x= 136, y= 8, width= 8, height= 8
x= 144, y= 0, width= 16, height= 8
x= 144, y= 8, width= 8, height= 8
x= 152, y= 8, width= 8, height= 8
x= 128, y= 16, width= 16, height= 4
x= 128, y= 20, width= 16, height= 4
x= 128, y= 24, width= 16, height= 8
x= 144, y= 16, width= 16, height= 16
x= 160, y= 0, width= 4, height= 4
x= 164, y= 0, width= 8, height= 4
x= 172, y= 0, width= 4, height= 4
x= 160, y= 4, width= 16, height= 4
x= 160, y= 8, width= 16, height= 4
x= 160, y= 12, width= 8, height= 4
x= 168, y= 12, width= 8, height= 4
x= 176, y= 0, width= 4, height= 4
x= 180, y= 0, width= 8, height= 4
x= 188, y= 0, width= 4, height= 4
x= 176, y= 4, width= 16, height= 4
x= 176, y= 8, width= 16, height= 8
x= 160, y= 16, width= 16, height= 16
x= 176, y= 16, width= 16, height= 16
x= 128, y= 32, width= 16, height= 4
x= 128, y= 36, width= 16, height= 8
x= 128, y= 44, width= 16, height= 4
x= 128, y= 48, width= 16, height= 16
x= 144, y= 32, width= 16, height= 32
x= 160, y= 32, width= 32, height= 32
x= 192, y= 0, width= 16, height= 16
x= 208, y= 0, width= 8, height= 8
x= 216, y= 0, width= 4, height= 4
x= 220, y= 0, width= 4, height= 4
x= 216, y= 4, width= 8, height= 4
x= 208, y= 8, width= 4, height= 4
x= 208, y= 12, width= 4, height= 4
x= 212, y= 8, width= 4, height= 8
x= 216, y= 8, width= 8, height= 8
x= 192, y= 16, width= 16, height= 16
x= 208, y= 16, width= 8, height= 8
x= 216, y= 16, width= 4, height= 8
x= 220, y= 16, width= 4, height= 8
x= 208, y= 24, width= 16, height= 8
x= 224, y= 0, width= 4, height= 4
x= 224, y= 4, width= 4, height= 8
x= 224, y= 12, width= 4, height= 4
x= 228, y= 0, width= 4, height= 8
x= 228, y= 8, width= 4, height= 8
x= 232, y= 0, width= 8, height= 16
x= 240, y= 0, width= 4, height= 8
x= 244, y= 0, width= 4, height= 8
x= 240, y= 8, width= 8, height= 8
x= 248, y= 0, width= 8, height= 16
x= 224, y= 16, width= 8, height= 4
x= 224, y= 20, width= 8, height= 4
