x= 0, y= 0, width= 16, height= 16
x= 0, y= 16, width= 8, height= 32
x= 8, y= 16, width= 8, height= 32
x= 0, y= 48, width= 16, height= 16
x= 16, y= 0, width= 32, height= 16
x= 16, y= 16, width= 32, height= 32
x= 16, y= 48, width= 32, height= 16
x= 48, y= 0, width= 16, height= 64
x= 64, y= 0, width= 64, height= 64
x= 0, y= 64, width= 64, height= 64
x= 64, y= 64, width= 16, height= 64
x= 80, y= 64, width= 32, height= 64
x= 112, y= 64, width= 16, height= 16
x= 112, y= 80, width= 16, height= 32
x= 112, y= 112, width= 16, height= 4
x= 112, y= 116, width= 16, height= 8
x= 112, y= 124, width= 16, height= 4
x= 128, y= 0, width= 32, height= 32
x= 160, y= 0, width= 32, height= 32
x= 128, y= 32, width= 16, height= 32
x= 144, y= 32, width= 32, height= 32
x= 176, y= 32, width= 4, height= 32
x= 180, y= 32, width= 8, height= 32
x= 188, y= 32, width= 4, height= 32
x= 192, y= 0, width= 32, height= 32
x= 224, y= 0, width= 32, height= 32
x= 192, y= 32, width= 32, height= 4
x= 192, y= 36, width= 32, height= 8
x= 192, y= 44, width= 32, height= 4
x= 192, y= 48, width= 32, height= 16
x= 224, y= 32, width= 16, height= 32
x= 240, y= 32, width= 16, height= 32
x= 128, y= 64, width= 64, height= 32
x= 128, y= 96, width= 64, height= 32
x= 192, y= 64, width= 32, height= 32
x= 224, y= 64, width= 32, height= 16
x= 224, y= 80, width= 32, height= 16
x= 192, y= 96, width= 32, height= 32
x= 224, y= 96, width= 16, height= 32
x= 240, y= 96, width= 16, height= 4
x= 240, y= 100, width= 16, height= 8
x= 240, y= 108, width= 16, height= 4
x= 240, y= 112, width= 16, height= 16
x= 256, y= 0, width= 64, height= 64
x= 320, y= 0, width= 16, height= 64
x= 336, y= 0, width= 16, height= 64
x= 256, y= 64, width= 32, height= 32
x= 288, y= 64, width= 32, height= 32
x= 256, y= 96, width= 16, height= 8
x= 256, y= 104, width= 4, height= 16
x= 260, y= 104, width= 8, height= 16
x= 268, y= 104, width= 4, height= 16
x= 256, y= 120, width= 16, height= 8
x= 272, y= 96, width= 8, height= 32
x= 280, y= 96, width= 8, height= 32
x= 288, y= 96, width= 32, height= 32
x= 320, y= 64, width= 32, height= 64
x= 0, y= 128, width= 8, height= 64
x= 8, y= 128, width= 8, height= 64
x= 16, y= 128, width= 32, height= 64
x= 48, y= 128, width= 16, height= 64
x= 64, y= 128, width= 16, height= 64
x= 80, y= 128, width= 32, height= 64
x= 112, y= 128, width= 16, height= 64
x= 0, y= 192, width= 8, height= 64
x= 8, y= 192, width= 16, height= 64
x= 24, y= 192, width= 8, height= 64
x= 32, y= 192, width= 32, height= 64
x= 64, y= 192, width= 16, height= 64
x= 80, y= 192, width= 32, height= 64
x= 112, y= 192, width= 16, height= 64
x= 128, y= 128, width= 8, height= 64
x= 136, y= 128, width= 8, height= 64
x= 144, y= 128, width= 32, height= 32
x= 144, y= 160, width= 32, height= 32
x= 176, y= 128, width= 16, height= 32
x= 176, y= 160, width= 16, height= 32
x= 192, y= 128, width= 32, height= 16
x= 192, y= 144, width= 16, height= 16
x= 208, y= 144, width= 16, height= 16
x= 224, y= 128, width= 8, height= 32
x= 232, y= 128, width= 16, height= 32
x= 248, y= 128, width= 8, height= 32
x= 192, y= 160, width= 8, height= 32
x= 200, y= 160, width= 16, height= 32
x= 216, y= 160, width= 8, height= 32
x= 224, y= 160, width= 32, height= 32
x= 128, y= 192, width= 16, height= 32
x= 144, y= 192, width= 16, height= 32
x= 160, y= 192, width= 32, height= 16
x= 160, y= 208, width= 32, height= 16
x= 128, y= 224, width= 8, height= 32
