x= 0, y= 0, width= 32, height= 16
x= 0, y= 16, width= 32, height= 16
x= 32, y= 0, width= 32, height= 32
x= 0, y= 32, width= 32, height= 32
x= 32, y= 32, width= 32, height= 32
x= 64, y= 0, width= 32, height= 32
x= 96, y= 0, width= 32, height= 32
x= 64, y= 32, width= 32, height= 32
x= 96, y= 32, width= 32, height= 32
x= 0, y= 64, width= 16, height= 64
x= 16, y= 64, width= 32, height= 64
x= 48, y= 64, width= 16, height= 64
x= 64, y= 64, width= 32, height= 32
x= 96, y= 64, width= 32, height= 32
x= 64, y= 96, width= 32, height= 32
x= 96, y= 96, width= 32, height= 8
x= 96, y= 104, width= 32, height= 16
x= 96, y= 120, width= 32, height= 8
x= 128, y= 0, width= 32, height= 16
x= 128, y= 16, width= 32, height= 16
x= 160, y= 0, width= 16, height= 32
x= 176, y= 0, width= 16, height= 8
x= 176, y= 8, width= 16, height= 4
x= 176, y= 12, width= 16, height= 8
x= 176, y= 20, width= 16, height= 4
x= 176, y= 24, width= 16, height= 8
x= 128, y= 32, width= 8, height= 16
x= 136, y= 32, width= 16, height= 16
x= 152, y= 32, width= 8, height= 4
x= 152, y= 36, width= 8, height= 8
x= 152, y= 44, width= 8, height= 4
x= 128, y= 48, width= 4, height= 16
x= 132, y= 48, width= 8, height= 16
x= 140, y= 48, width= 4, height= 16
x= 144, y= 48, width= 16, height= 16
x= 160, y= 32, width= 32, height= 8
x= 160, y= 40, width= 32, height= 8
x= 160, y= 48, width= 32, height= 16
x= 192, y= 0, width= 32, height= 16
x= 192, y= 16, width= 32, height= 8
x= 192, y= 24, width= 32, height= 8
x= 224, y= 0, width= 16, height= 32
x= 240, y= 0, width= 16, height= 32
x= 192, y= 32, width= 32, height= 32
x= 224, y= 32, width= 32, height= 16
x= 224, y= 48, width= 32, height= 16
x= 128, y= 64, width= 64, height= 64
x= 192, y= 64, width= 64, height= 16
x= 192, y= 80, width= 64, height= 4
x= 192, y= 84, width= 64, height= 8
x= 192, y= 92, width= 64, height= 4
x= 192, y= 96, width= 32, height= 32
x= 224, y= 96, width= 32, height= 32
x= 256, y= 0, width= 64, height= 64
x= 320, y= 0, width= 16, height= 64
x= 336, y= 0, width= 16, height= 64
x= 256, y= 64, width= 16, height= 16
x= 256, y= 80, width= 16, height= 32
x= 256, y= 112, width= 16, height= 8
x= 256, y= 120, width= 16, height= 8
x= 272, y= 64, width= 32, height= 16
x= 272, y= 80, width= 32, height= 32
x= 272, y= 112, width= 32, height= 16
x= 304, y= 64, width= 16, height= 64
