x= 0, y= 0, width= 32, height= 16
x= 0, y= 16, width= 32, height= 32
x= 0, y= 48, width= 32, height= 16
x= 32, y= 0, width= 32, height= 64
x= 64, y= 0, width= 64, height= 64
x= 0, y= 64, width= 8, height= 64
x= 8, y= 64, width= 16, height= 64
x= 24, y= 64, width= 8, height= 64
x= 32, y= 64, width= 32, height= 64
x= 64, y= 64, width= 32, height= 64
x= 96, y= 64, width= 32, height= 16
x= 96, y= 80, width= 32, height= 32
x= 96, y= 112, width= 32, height= 8
x= 96, y= 120, width= 32, height= 8
x= 128, y= 0, width= 64, height= 16
x= 128, y= 16, width= 64, height= 8
x= 128, y= 24, width= 64, height= 16
x= 128, y= 40, width= 64, height= 4
x= 128, y= 44, width= 64, height= 4
x= 128, y= 48, width= 64, height= 16
x= 192, y= 0, width= 32, height= 8
x= 192, y= 8, width= 32, height= 16
x= 192, y= 24, width= 32, height= 8
x= 224, y= 0, width= 32, height= 32
x= 192, y= 32, width= 16, height= 32
x= 208, y= 32, width= 8, height= 32
x= 216, y= 32, width= 16, height= 32
x= 232, y= 32, width= 8, height= 32
x= 240, y= 32, width= 16, height= 32
x= 128, y= 64, width= 16, height= 32
x= 144, y= 64, width= 32, height= 32
x= 176, y= 64, width= 16, height= 32
x= 128, y= 96, width= 32, height= 32
x= 160, y= 96, width= 32, height= 32
x= 192, y= 64, width= 32, height= 16
x= 192, y= 80, width= 32, height= 32
x= 192, y= 112, width= 32, height= 16
x= 224, y= 64, width= 32, height= 16
x= 224, y= 80, width= 32, height= 32
x= 224, y= 112, width= 32, height= 16
x= 256, y= 0, width= 64, height= 16
x= 256, y= 16, width= 64, height= 32
x= 256, y= 48, width= 64, height= 16
x= 320, y= 0, width= 32, height= 64
x= 256, y= 64, width= 4, height= 32
x= 260, y= 64, width= 8, height= 8
x= 260, y= 72, width= 8, height= 16
x= 260, y= 88, width= 8, height= 8
x= 268, y= 64, width= 4, height= 32
x= 272, y= 64, width= 16, height= 32
x= 288, y= 64, width= 32, height= 32
x= 256, y= 96, width= 32, height= 16
x= 256, y= 112, width= 8, height= 16
x= 264, y= 112, width= 4, height= 16
x= 268, y= 112, width= 8, height= 16
x= 276, y= 112, width= 4, height= 16
x= 280, y= 112, width= 8, height= 16
x= 288, y= 96, width= 32, height= 32
x= 320, y= 64, width= 32, height= 64
x= 0, y= 128, width= 8, height= 64
x= 8, y= 128, width= 16, height= 64
x= 24, y= 128, width= 8, height= 64
x= 32, y= 128, width= 32, height= 64
x= 64, y= 128, width= 32, height= 32
x= 96, y= 128, width= 16, height= 32
x= 112, y= 128, width= 16, height= 32
x= 64, y= 160, width= 32, height= 32
x= 96, y= 160, width= 16, height= 32
x= 112, y= 160, width= 8, height= 32
x= 120, y= 160, width= 8, height= 32
x= 0, y= 192, width= 64, height= 64
x= 64, y= 192, width= 64, height= 64
x= 128, y= 128, width= 8, height= 32
