x= 0, y= 0, width= 32, height= 8
x= 0, y= 8, width= 8, height= 4
x= 8, y= 8, width= 16, height= 4
x= 24, y= 8, width= 8, height= 4
x= 0, y= 12, width= 8, height= 8
x= 8, y= 12, width= 16, height= 8
x= 24, y= 12, width= 8, height= 8
x= 0, y= 20, width= 8, height= 4
x= 8, y= 20, width= 16, height= 4
x= 24, y= 20, width= 8, height= 4
x= 0, y= 24, width= 32, height= 8
x= 32, y= 0, width= 16, height= 8
x= 32, y= 8, width= 16, height= 8
x= 32, y= 16, width= 16, height= 16
x= 48, y= 0, width= 16, height= 32
x= 0, y= 32, width= 32, height= 16
x= 0, y= 48, width= 4, height= 16
x= 4, y= 48, width= 8, height= 16
x= 12, y= 48, width= 4, height= 16
x= 16, y= 48, width= 16, height= 16
x= 32, y= 32, width= 32, height= 16
x= 32, y= 48, width= 32, height= 16
x= 64, y= 0, width= 64, height= 16
x= 64, y= 16, width= 64, height= 32
x= 64, y= 48, width= 64, height= 16
x= 0, y= 64, width= 4, height= 64
x= 4, y= 64, width= 4, height= 64
x= 8, y= 64, width= 8, height= 64
x= 16, y= 64, width= 32, height= 64
x= 48, y= 64, width= 16, height= 64
x= 64, y= 64, width= 32, height= 32
x= 96, y= 64, width= 8, height= 16
x= 104, y= 64, width= 4, height= 16
x= 108, y= 64, width= 8, height= 16
x= 116, y= 64, width= 4, height= 16
x= 120, y= 64, width= 4, height= 16
x= 124, y= 64, width= 4, height= 16
x= 96, y= 80, width= 32, height= 16
x= 64, y= 96, width= 32, height= 32
x= 96, y= 96, width= 32, height= 16
x= 96, y= 112, width= 16, height= 8
x= 96, y= 120, width= 16, height= 8
x= 112, y= 112, width= 8, height= 16
x= 120, y= 112, width= 8, height= 16
x= 128, y= 0, width= 32, height= 32
x= 160, y= 0, width= 32, height= 8
x= 160, y= 8, width= 32, height= 8
x= 160, y= 16, width= 16, height= 16
x= 176, y= 16, width= 16, height= 8
x= 176, y= 24, width= 16, height= 8
x= 128, y= 32, width= 16, height= 16
x= 128, y= 48, width= 4, height= 16
x= 132, y= 48, width= 8, height= 16
x= 140, y= 48, width= 4, height= 16
x= 144, y= 32, width= 16, height= 8
x= 144, y= 40, width= 16, height= 4
x= 144, y= 44, width= 16, height= 8
x= 144, y= 52, width= 16, height= 4
x= 144, y= 56, width= 4, height= 8
x= 148, y= 56, width= 8, height= 8
x= 156, y= 56, width= 4, height= 8
x= 160, y= 32, width= 16, height= 4
x= 160, y= 36, width= 16, height= 4
x= 176, y= 32, width= 16, height= 8
x= 160, y= 40, width= 16, height= 4
x= 160, y= 44, width= 16, height= 8
x= 160, y= 52, width= 16, height= 4
x= 176, y= 40, width= 16, height= 16
x= 160, y= 56, width= 32, height= 8
x= 192, y= 0, width= 16, height= 16
x= 208, y= 0, width= 16, height= 16
x= 192, y= 16, width= 8, height= 8
x= 192, y= 24, width= 8, height= 8
x= 200, y= 16, width= 8, height= 16
x= 208, y= 16, width= 16, height= 16
x= 224, y= 0, width= 32, height= 16
x= 224, y= 16, width= 32, height= 8
x= 224, y= 24, width= 16, height= 8
x= 240, y= 24, width= 16, height= 8
x= 192, y= 32, width= 32, height= 32
x= 224, y= 32, width= 16, height= 16
x= 240, y= 32, width= 16, height= 16
x= 224, y= 48, width= 32, height= 16
x= 128, y= 64, width= 16, height= 32
x= 144, y= 64, width= 16, height= 32
x= 160, y= 64, width= 32, height= 8
x= 160, y= 72, width= 32, height= 16
x= 160, y= 88, width= 32, height= 8
x= 128, y= 96, width= 16, height= 32
x= 144, y= 96, width= 32, height= 32
x= 176, y= 96, width= 16, height= 32
x= 192, y= 64, width= 32, height= 16
x= 192, y= 80, width= 32, height= 16
x= 224, y= 64, width= 16, height= 32
x= 240, y= 64, width= 16, height= 32
x= 192, y= 96, width= 16, height= 8
x= 208, y= 96, width= 16, height= 8
x= 192, y= 104, width= 32, height= 4
x= 192, y= 108, width= 32, height= 4
x= 192, y= 112, width= 32, height= 16
x= 224, y= 96, width= 32, height= 4
x= 224, y= 100, width= 32, height= 4
x= 224, y= 104, width= 32, height= 16
x= 224, y= 120, width= 32, height= 8
x= 256, y= 0, width= 64, height= 64
x= 320, y= 0, width= 8, height= 64
x= 328, y= 0, width= 16, height= 64
x= 344, y= 0, width= 4, height= 64
x= 348, y= 0, width= 4, height= 64
x= 256, y= 64, width= 32, height= 16
x= 256, y= 80, width= 16, height= 16
x= 272, y= 80, width= 16, height= 16
x= 288, y= 64, width= 32, height= 32
x= 256, y= 96, width= 4, height= 4
x= 256, y= 100, width= 4, height= 4
x= 260, y= 96, width= 8, height= 4
x= 260, y= 100, width= 8, height= 4
x= 268, y= 96, width= 4, height= 4
x= 268, y= 100, width= 4, height= 4
x= 0, y= 0, width= 0, height= 0
x= 256, y= 104, width= 16, height= 8
x= 272, y= 96, width= 8, height= 16
x= 280, y= 96, width= 8, height= 16
x= 256, y= 112, width= 8, height= 16
x= 264, y= 112, width= 8, height= 16
x= 272, y= 112, width= 8, height= 16
x= 280, y= 112, width= 8, height= 16
x= 288, y= 96, width= 32, height= 16
x= 288, y= 112, width= 32, height= 16
x= 320, y= 64, width= 32, height= 64
x= 0, y= 128, width= 8, height= 64
x= 8, y= 128, width= 8, height= 64
x= 16, y= 128, width= 16, height= 64
x= 32, y= 128, width= 16, height= 64
x= 48, y= 128, width= 16, height= 64
x= 64, y= 128, width= 32, height= 32
x= 96, y= 128, width= 16, height= 32
x= 112, y= 128, width= 8, height= 32
x= 120, y= 128, width= 8, height= 16
x= 120, y= 144, width= 8, height= 16
x= 64, y= 160, width= 32, height= 32
x= 96, y= 160, width= 8, height= 32
x= 104, y= 160, width= 16, height= 32
x= 120, y= 160, width= 8, height= 16
x= 120, y= 176, width= 8, height= 8
x= 120, y= 184, width= 8, height= 8
x= 0, y= 192, width= 8, height= 64
x= 8, y= 192, width= 8, height= 64
x= 16, y= 192, width= 16, height= 64
x= 32, y= 192, width= 32, height= 64
x= 64, y= 192, width= 32, height= 64
x= 96, y= 192, width= 16, height= 64
x= 112, y= 192, width= 16, height= 64
x= 128, y= 128, width= 8, height= 16
x= 128, y= 144, width= 8, height= 16
x= 136, y= 128, width= 4, height= 32
x= 140, y= 128, width= 4, height= 32
x= 144, y= 128, width= 16, height= 32
x= 160, y= 128, width= 32, height= 8
x= 160, y= 136, width= 8, height= 8
x= 168, y= 136, width= 16, height= 8
x= 184, y= 136, width= 8, height= 8
x= 160, y= 144, width= 8, height= 16
x= 168, y= 144, width= 16, height= 16
x= 184, y= 144, width= 8, height= 16
x= 128, y= 160, width= 4, height= 32
x= 132, y= 160, width= 8, height= 32
x= 140, y= 160, width= 4, height= 32
x= 144, y= 160, width= 16, height= 32
x= 160, y= 160, width= 32, height= 32
x= 192, y= 128, width= 8, height= 32
x= 200, y= 128, width= 8, height= 32
x= 208, y= 128, width= 16, height= 32
x= 224, y= 128, width= 16, height= 16
x= 240, y= 128, width= 16, height= 16
x= 224, y= 144, width= 16, height= 16
x= 240, y= 144, width= 8, height= 8
x= 248, y= 144, width= 8, height= 8
x= 240, y= 152, width= 4, height= 4
x= 244, y= 152, width= 8, height= 4
x= 252, y= 152, width= 4, height= 4
x= 0, y= 0, width= 0, height= 0
x= 240, y= 156, width= 4, height= 4
x= 244, y= 156, width= 8, height= 4
x= 252, y= 156, width= 4, height= 4
x= 0, y= 0, width= 0, height= 0
x= 192, y= 160, width= 32, height= 32
x= 224, y= 160, width= 16, height= 32
x= 240, y= 160, width= 16, height= 32
x= 128, y= 192, width= 8, height= 16
x= 128, y= 208, width= 8, height= 16
x= 136, y= 192, width= 8, height= 8
x= 136, y= 200, width= 8, height= 16
x= 136, y= 216, width= 8, height= 8
x= 144, y= 192, width= 16, height= 32
x= 160, y= 192, width= 16, height= 16
x= 176, y= 192, width= 16, height= 4
x= 176, y= 196, width= 16, height= 4
x= 176, y= 200, width= 16, height= 8
x= 160, y= 208, width= 16, height= 16
x= 176, y= 208, width= 16, height= 16
x= 128, y= 224, width= 16, height= 16
x= 144, y= 224, width= 16, height= 8
x= 144, y= 232, width= 8, height= 8
x= 152, y= 232, width= 8, height= 8
x= 128, y= 240, width= 8, height= 16
x= 136, y= 240, width= 8, height= 8
x= 136, y= 248, width= 8, height= 8
x= 144, y= 240, width= 16, height= 16
x= 160, y= 224, width= 32, height= 32
x= 192, y= 192, width= 32, height= 4
x= 192, y= 196, width= 32, height= 4
x= 192, y= 200, width= 32, height= 4
x= 192, y= 204, width= 32, height= 4
x= 192, y= 208, width= 16, height= 8
x= 208, y= 208, width= 16, height= 8
x= 192, y= 216, width= 8, height= 8
x= 200, y= 216, width= 16, height= 8
x= 216, y= 216, width= 8, height= 8
x= 224, y= 192, width= 16, height= 16
x= 240, y= 192, width= 16, height= 16
x= 224, y= 208, width= 4, height= 16
x= 228, y= 208, width= 8, height= 16
x= 236, y= 208, width= 4, height= 16
x= 0, y= 0, width= 0, height= 0
x= 240, y= 208, width= 8, height= 16
x= 248, y= 208, width= 8, height= 16
x= 192, y= 224, width= 32, height= 16
x= 192, y= 240, width= 32, height= 16
x= 224, y= 224, width= 32, height= 16
x= 224, y= 240, width= 4, height= 16
x= 228, y= 240, width= 8, height= 16
x= 236, y= 240, width= 4, height= 16
x= 240, y= 240, width= 16, height= 4
x= 240, y= 244, width= 16, height= 8
x= 240, y= 252, width= 16, height= 4
x= 256, y= 128, width= 8, height= 16
x= 264, y= 128, width= 8, height= 16
x= 272, y= 128, width= 16, height= 16
x= 256, y= 144, width= 32, height= 8
x= 256, y= 152, width= 32, height= 8
x= 288, y= 128, width= 32, height= 32
x= 256, y= 160, width= 32, height= 32
x= 288, y= 160, width= 32, height= 16
x= 288, y= 176, width= 32, height= 16
x= 320, y= 128, width= 16, height= 64
x= 336, y= 128, width= 16, height= 64
x= 256, y= 192, width= 64, height= 64
x= 320, y= 192, width= 16, height= 64
x= 336, y= 192, width= 16, height= 64
x= 0, y= 256, width= 16, height= 32
x= 16, y= 256, width= 16, height= 32
x= 32, y= 256, width= 32, height= 32
x= 64, y= 256, width= 32, height= 16
x= 64, y= 272, width= 32, height= 8
x= 64, y= 280, width= 16, height= 8
x= 80, y= 280, width= 16, height= 8
x= 96, y= 256, width= 16, height= 8
x= 96, y= 264, width= 16, height= 4
x= 96, y= 268, width= 16, height= 4
x= 112, y= 256, width= 8, height= 4
x= 112, y= 260, width= 8, height= 8
x= 112, y= 268, width= 8, height= 4
x= 120, y= 256, width= 8, height= 8
x= 120, y= 264, width= 8, height= 8
x= 96, y= 272, width= 16, height= 16
x= 112, y= 272, width= 16, height= 16
x= 128, y= 256, width= 8, height= 8
x= 128, y= 264, width= 8, height= 16
x= 128, y= 280, width= 8, height= 8
x= 136, y= 256, width= 16, height= 16
x= 136, y= 272, width= 16, height= 8
x= 136, y= 280, width= 16, height= 8
x= 152, y= 256, width= 8, height= 16
